Product Name,SKU,Variant Title,Flavor,Size,Price,Sale Price,Original Price,In Stock,Product URL
Impact Whey Protein,10852519,Impact Whey Protein - 5.5lb - Mocha,Mocha,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852521,Impact Whey Protein - 5.5lb - Strawberry Milkshake,Strawberry Milkshake,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852523,Impact Whey Protein - 5.5lb - Unflavored,Unflavored,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852524,Impact Whey Protein - 5.5lb - Vanilla Ice Cream,Vanilla Ice Cream,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852529,Impact Whey Protein - 2.2lb - Chocolate Milkshake,Chocolate Milkshake,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852532,Impact Whey Protein - 2.2lb - Strawberry Milkshake,Strawberry Milkshake,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852535,Impact Whey Protein - 2.2lb - Unflavored,Unflavored,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852536,Impact Whey Protein - 2.2lb - Vanilla Ice Cream,Vanilla Ice Cream,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11076421,Impact Whey Protein - 2.2lb - Mocha,Mocha,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11076443,Impact Whey Protein - 2.2lb - Salted Caramel,Salted Caramel,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
